Категория,Позиция,Кол-во,Примечание
Вычислитель,Raspberry Pi 5 (8 ГБ) или NVIDIA Jetson Orin Nano,1,CV в реальном времени
Вычислитель,microSD 64 ГБ / NVMe,1,ОС и ПО
Камера,Монохромная камера высокой чувствительности (USB3/CSI),1,Глобальный затвор предпочтителен
Камера,Объектив с фиксированным F (напр. 25-50 мм) + ИК-пропускающий,1,Под нужное поле зрения
Камера,Тепловизор FLIR Lepton/Boson (опция),1,Истинно ночное небо
Подсветка,ИК-прожектор 850 или 940 нм,1,Освещение сцены для моно-камеры
Датчики,Датчик освещённости (BH1750),1,Интерлок по освещённости
Датчики,ИК-датчик присутствия человека (PIR/ToF),1,Интерлок безопасности
Контроллер,Arduino (Mega/STM32 Blue Pill/Nucleo),1,Управление осями и лазером в реальном времени
Приводы,Шаговый двигатель NEMA 17,2,Азимут и возвышение
Приводы,Драйвер шагового TMC2209,2,Тихий микрошаг
Приводы,Редуктор/ременная передача 5:1,2,Повышение разрешения и момента
Приводы,Концевой выключатель,2,Хоуминг и защита хода
Механика,Упорный подшипник азимута,1,Осевая нагрузка платформы
Механика,Радиальные подшипники осей,4,Оси азимута/возвышения
Механика,Крепёж M3/M4 + резьбовые втулки,комплект,Сборка печатных деталей
Механика,Тренога/основание,1,Устойчивая опора
Лазер (подсветка),Лазерный модуль зелёный 520 нм <=5 мВт (класс <=3R),1,ТОЛЬКО подсветка/маркировка дрона; безопасно для глаз
Лазер (уничтожение),Фокусируемый лазерный диод (маломощный),1,ТОЛЬКО насекомые в защищённой зоне
Лазер,Драйвер лазера со стабилизацией тока,1,Управление мощностью
Лазер,Оптический затвор/шторка апертуры + серво,1,Перекрытие апертуры в покое
Лазер,Термистор лазера,1,Защита от перегрева
Безопасность,Кнопка аварийного останова (NC, грибок),1,Аппаратный разрыв питания лазера
Безопасность,Ключ-выключатель взведения,1,Разрешение работы лазера
Безопасность,Индикатор излучения (светодиод/лампа),1,Требование норм безопасности
Безопасность,Реле блокировки лазера,1,Управляемый разрыв от контроллера
Безопасность,Защитные очки под длину волны лазера,2,СИЗ оператора
Питание,Блок питания 24 В / 6 А,1,Основное питание
Питание,DC-DC 24->5 В 5 А,1,Питание логики
Питание,Предохранитель 6.3 A + TVS,1,Защита цепей
Корпус,Гермокорпус IP54+ с гермовводами,1,Погодозащита электроники
